symbol,entry_time,entry_price,exit_time,exit_price,initial_stop,stop_updates_count,pnl,pnl_pct,exit_reason
SHFE.ao2605,2026-01-27 14:25:00.000000,2727.0,2026-01-27 14:40:00.000000,2722.0,2722.00,1,-100.00,-0.18%,初始止损 (前前绿柱堆间 K 线低点:2722.00)
SHFE.ao2605,2026-01-27 21:05:00.000000,2734.0,2026-01-28 11:00:00.000000,2779.0,2723.00,5,900.00,1.65%,移动止损 (前前绿柱堆间 K 线低点:2779.00)
SHFE.ao2605,2026-02-03 23:10:00.000000,2811.0,2026-02-03 23:50:00.000000,2809.0,2780.00,2,-40.00,-0.07%,初始止损 (前前绿柱堆间 K 线低点:2780.00)
SHFE.ao2605,2026-02-09 11:15:00.000000,2868.0,2026-02-10 09:00:00.000000,2856.0,2804.00,2,-240.00,-0.42%,初始止损 (前前绿柱堆间 K 线低点:2804.00)
SHFE.ao2605,2026-02-13 14:55:00.000000,2841.0,2026-02-24 09:55:00.000000,2818.0,2818.00,1,-460.00,-0.81%,初始止损 (前前绿柱堆间 K 线低点:2818.00)
SHFE.ao2605,2026-02-25 09:35:00.000000,2850.0,2026-02-25 21:45:00.000000,2853.0,2836.00,3,60.00,0.11%,初始止损 (前前绿柱堆间 K 线低点:2836.00)
SHFE.ao2605,2026-03-05 11:25:00,2813.0,2026-03-05 22:10:00,2793.0,2763.00,3,-400.00,-0.71%,移动止损 (前前绿柱堆间 K 线低点:2793.00)
SHFE.ao2605,2026-03-11 13:35:00,2869.0,2026-03-12 11:00:00,2886.0,2826.00,4,340.00,0.59%,初始止损 (前前绿柱堆间 K 线低点:2826.00)
SHFE.br2605,2025-12-02 10:00:00.000000,10595.0,2025-12-03 11:10:00.000000,10705.0,10350.00,3,550.00,1.04%,初始止损 (前前绿柱堆间 K 线低点:10350.00)
SHFE.br2605,2025-12-10 11:25:00.000000,10675.0,2025-12-10 22:00:00.000000,10695.0,10535.00,3,100.00,0.19%,初始止损 (前前绿柱堆间 K 线低点:10535.00)
SHFE.br2605,2025-12-12 14:45:00.000000,10820.0,2025-12-15 22:15:00.000000,10965.0,10705.00,6,725.00,1.34%,移动止损 (前前绿柱堆间 K 线低点:10965.00)
SHFE.br2605,2025-12-16 22:30:00.000000,11040.0,2025-12-18 09:50:00.000000,11135.0,10915.00,5,475.00,0.86%,移动止损 (前前绿柱堆间 K 线低点:11135.00)
SHFE.br2605,2025-12-24 14:15:00.000000,11285.0,2025-12-25 11:25:00.000000,11305.0,11100.00,4,100.00,0.18%,移动止损 (前前绿柱堆间 K 线低点:11305.00)
SHFE.br2605,2026-01-07 22:00:00.000000,12495.0,2026-01-08 22:40:00.000000,12000.0,12000.00,1,-2475.00,-3.96%,初始止损 (前前绿柱堆间 K 线低点:12000.00)
SHFE.br2605,2026-01-29 21:05:00.000000,13485.0,2026-01-30 11:20:00.000000,13340.0,13045.00,3,-725.00,-1.08%,移动止损 (前前绿柱堆间 K 线低点:13340.00)
SHFE.br2605,2026-02-09 21:05:00.000000,13040.0,2026-02-10 09:00:00.000000,12945.0,12690.00,2,-475.00,-0.73%,初始止损 (前前绿柱堆间 K 线低点:12690.00)
SHFE.br2605,2026-03-02 09:10:00,13075.0,2026-03-03 14:10:00,13525.0,12620.00,4,2250.00,3.44%,初始止损 (前前绿柱堆间 K 线低点:12620.00)
SHFE.br2605,2026-03-04 15:00:00,13880.0,2026-03-06 09:10:00,14150.0,13515.00,5,1350.00,1.95%,移动止损 (前前绿柱堆间 K 线低点:14150.00)
SHFE.bu2606,2025-12-05 14:40:00.000000,3013.0,2025-12-05 21:00:00.000000,3003.0,3003.00,1,-300.00,-0.33%,初始止损 (前前绿柱堆间 K 线低点:3003.00)
SHFE.bu2606,2025-12-10 21:05:00.000000,3025.0,2025-12-11 14:55:00.000000,3027.0,3000.00,3,60.00,0.07%,移动止损 (前前绿柱堆间 K 线低点:3027.00)
SHFE.bu2606,2025-12-12 14:50:00.000000,3021.0,2025-12-12 21:20:00.000000,3014.0,2980.00,3,-210.00,-0.23%,移动止损 (前前绿柱堆间 K 线低点:3014.00)
SHFE.bu2606,2025-12-22 09:00:00.000000,2995.0,2025-12-23 10:05:00.000000,3015.0,2941.00,3,600.00,0.67%,初始止损 (前前绿柱堆间 K 线低点:2941.00)
SHFE.bu2606,2025-12-24 09:05:00.000000,3029.0,2025-12-24 09:45:00.000000,3021.0,3021.00,1,-240.00,-0.26%,初始止损 (前前绿柱堆间 K 线低点:3021.00)
SHFE.bu2606,2025-12-24 14:10:00.000000,3038.0,2025-12-24 22:05:00.000000,3031.0,3021.00,3,-210.00,-0.23%,移动止损 (前前绿柱堆间 K 线低点:3031.00)
SHFE.bu2606,2026-01-20 22:15:00.000000,3166.0,2026-01-21 09:00:00.000000,3154.0,3154.00,1,-360.00,-0.38%,初始止损 (前前绿柱堆间 K 线低点:3154.00)
SHFE.bu2606,2026-01-21 22:35:00.000000,3230.0,2026-01-22 11:20:00.000000,3234.0,3154.00,4,120.00,0.12%,移动止损 (前前绿柱堆间 K 线低点:3234.00)
SHFE.bu2606,2026-01-26 22:20:00.000000,3285.0,2026-01-27 10:30:00.000000,3278.0,3268.00,3,-210.00,-0.21%,移动止损 (前前绿柱堆间 K 线低点:3278.00)
SHFE.bu2606,2026-02-04 09:05:00.000000,3365.0,2026-02-05 10:30:00.000000,3351.0,3292.00,3,-280.00,-0.42%,初始止损 (前前绿柱堆间 K 线低点:3292.00)
SHFE.bu2606,2026-02-09 14:30:00.000000,3339.0,2026-02-09 14:35:00.000000,3344.0,3344.00,1,100.00,0.15%,初始止损 (前前绿柱堆间 K 线低点:3344.00)
SHFE.bu2606,2026-02-10 10:00:00.000000,3361.0,2026-02-10 14:35:00.000000,3358.0,3335.00,3,-60.00,-0.09%,移动止损 (前前绿柱堆间 K 线低点:3358.00)
SHFE.bu2606,2026-02-24 10:00:00,3411.0,2026-02-25 09:45:00,3380.0,3277.00,3,-620.00,-0.91%,移动止损 (前前绿柱堆间 K 线低点:3380.00)
SHFE.bu2606,2026-02-26 14:15:00,3373.0,2026-02-26 21:05:00,3368.0,3368.00,1,-100.00,-0.15%,初始止损 (前前绿柱堆间 K 线低点:3368.00)
SHFE.bu2606,2026-03-06 21:20:00,3857.0,2026-03-09 22:10:00,4054.0,3711.00,4,3940.00,5.11%,移动止损 (前前绿柱堆间 K 线低点:4054.00)
SHFE.bu2606,2026-03-11 14:25:00,3836.0,2026-03-12 14:55:00,3973.0,3853.00,3,2740.00,3.57%,回测结束
SHFE.fu2605,2025-11-24 11:15:00.000000,2537.0,2025-11-25 14:25:00.000000,2535.0,2535.00,1,-60.00,-0.08%,初始止损 (前前绿柱堆间 K 线低点:2535.00)
SHFE.fu2605,2025-11-27 11:20:00.000000,2511.0,2025-11-27 13:30:00.000000,2509.0,2494.00,3,-60.00,-0.08%,移动止损 (前前绿柱堆间 K 线低点:2509.00)
SHFE.fu2605,2025-12-22 09:00:00.000000,2454.0,2025-12-23 14:35:00.000000,2490.0,2407.00,4,1440.00,1.47%,初始止损 (前前绿柱堆间 K 线低点:2407.00)
SHFE.fu2605,2025-12-24 14:45:00.000000,2498.0,2025-12-24 21:00:00.000000,2496.0,2496.00,1,-80.00,-0.08%,初始止损 (前前绿柱堆间 K 线低点:2496.00)
